codigo_rastreio|tipo_ocorrencia|descricao_ocorrencia|data_ocorrencia|hora_ocorrencia|cpf_destinatario|nome_destinatario|cep_destino|cidade_destino|uf_destino|peso_gramas|valor_declarado
AA100000013BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|01/10/2024|20:08|624.731.781-08|JOAO DA SILVA|20040-020|RIO DE JANEIRO|RJ|2036|83.16
AA100000014BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|03/09/2024|12:55|602.606.474-68|AMANDA RIBEIRO|30130-110|BELO HORIZONTE|MG|1655|148.35
AA100000015BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|23/10/2024|07:47|500.978.820-81|FERNANDA SANTOS|20040-020|RIO DE JANEIRO|RJ|4974|33.98
AA100000016BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|25/07/2024|09:56|939.909.169-98|BRUNO FERREIRA|57020-480|MACEIO|AL|2236|102.13
AA100000017BR|EXT|OBJETO EXTRAVIADO|09/06/2024|13:16|624.751.079-91|PEDRO OLIVEIRA|90010-160|PORTO ALEGRE|RS|1846|252.94
AA100000018BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|27/06/2024|08:56|354.278.498-08|PATRICIA LIMA|57020-480|MACEIO|AL|948|469.47
AA100000019BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|15/05/2024|09:56|182.449.353-48|AMANDA RIBEIRO|60150-160|FORTALEZA|CE|516|46.15
AA100000020BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|21/05/2024|07:00|524.278.680-11|CARLOS LIMA|90010-160|PORTO ALEGRE|RS|395|417.30
AA100000021BR|RDE|OBJETO RETORNOU AO REMETENTE|09/10/2024|10:27|204.505.331-58|LARISSA CARVALHO|74110-010|GOIANIA|GO|1366|462.88
AA100000022BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|24/03/2024|11:56|602.563.421-60|AMANDA RIBEIRO|40020-010|SALVADOR|BA|1734|408.29
AA100000023BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|28/06/2024|15:52|330.365.414-58|DIEGO NASCIMENTO|66015-110|BELEM|PA|4492|165.57
AA100000024BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|29/02/2024|14:11|940.196.556-98|ANA COSTA|69005-010|MANAUS|AM|4823|95.04
AA100000025BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|28/12/2024|19:00|883.561.595-14|GABRIEL MENDES|60150-160|FORTALEZA|CE|3445|163.09
AA100000026BR|EXT|OBJETO EXTRAVIADO|31/05/2024|10:12|662.994.680-44|LUCAS PEREIRA|69005-010|MANAUS|AM|4851|303.33
AA100000027BR|OEC|OBJETO EM ROTA DE ENTREGA|26/08/2024|20:28|387.214.895-13|PATRICIA LIMA|40020-010|SALVADOR|BA|1731|73.68
AA100000028BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|05/05/2024|21:39|176.936.763-20|ANA COSTA|29010-330|VITORIA|ES|3582|109.42
AA100000029BR|EXT|OBJETO EXTRAVIADO|22/09/2024|20:03|831.727.889-57|NATALIA ROCHA|59010-000|NATAL|RN|4235|213.37
AA100000030BR|RDE|OBJETO RETORNOU AO REMETENTE|16/08/2024|11:47|774.348.734-71|PATRICIA LIMA|40020-010|SALVADOR|BA|2325|167.92
AA100000031BR|RDE|OBJETO RETORNOU AO REMETENTE|11/02/2024|10:09|362.316.658-76|MARIA SOUZA|40020-010|SALVADOR|BA|3541|194.74
AA100000032BR|RDE|OBJETO RETORNOU AO REMETENTE|22/12/2024|06:54|967.054.668-89|JULIANA ALVES|50010-000|RECIFE|PE|1897|136.47
AA100000033BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|15/01/2024|18:21|627.298.069-90|PEDRO OLIVEIRA|66015-110|BELEM|PA|3611|67.85
AA100000034BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|03/04/2024|07:16|653.755.646-41|AMANDA RIBEIRO|01310-100|SAO PAULO|SP|4518|26.04
AA100000035BR|OEC|OBJETO EM ROTA DE ENTREGA|24/04/2024|08:49|003.309.232-71|LEONARDO BARBOSA|40020-010|SALVADOR|BA|3909|349.73
AA100000036BR|OEC|OBJETO EM ROTA DE ENTREGA|26/03/2024|09:49|241.904.966-31|LEONARDO BARBOSA|88010-400|FLORIANOPOLIS|SC|2089|50.95
AA100000037BR|OEC|OBJETO EM ROTA DE ENTREGA|16/12/2024|09:50|905.865.185-06|AMANDA RIBEIRO|20040-020|RIO DE JANEIRO|RJ|3651|480.39
AA100000038BR|EXT|OBJETO EXTRAVIADO|23/08/2024|10:27|284.987.769-45|JULIANA ALVES|59010-000|NATAL|RN|809|139.46
AA100000039BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|04/05/2024|20:36|965.075.273-54|BRUNO FERREIRA|60150-160|FORTALEZA|CE|4983|350.59
AA100000040BR|OEC|OBJETO EM ROTA DE ENTREGA|11/10/2024|06:33|313.678.377-70|PEDRO OLIVEIRA|60150-160|FORTALEZA|CE|1915|202.20
AA100000041BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|05/06/2024|17:30|885.685.574-44|JULIANA ALVES|20040-020|RIO DE JANEIRO|RJ|1677|157.77
AA100000042BR|EXT|OBJETO EXTRAVIADO|01/10/2024|11:12|374.989.413-43|CAMILA MARTINS|30130-110|BELO HORIZONTE|MG|2576|7.07
AA100000043BR|RDE|OBJETO RETORNOU AO REMETENTE|05/03/2024|14:02|084.271.094-77|THIAGO ARAUJO|80010-010|CURITIBA|PR|1610|482.75
AA100000044BR|OEC|OBJETO EM ROTA DE ENTREGA|01/09/2024|09:52|167.190.229-41|JULIANA ALVES|20040-020|RIO DE JANEIRO|RJ|4671|382.22
AA100000045BR|RDE|OBJETO RETORNOU AO REMETENTE|01/11/2024|13:49|867.749.649-90|NATALIA ROCHA|88010-400|FLORIANOPOLIS|SC|912|473.80
AA100000046BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|16/11/2024|12:16|123.281.206-79|AMANDA RIBEIRO|60150-160|FORTALEZA|CE|367|115.74
AA100000047BR|EXT|OBJETO EXTRAVIADO|24/05/2024|20:04|349.361.832-42|PEDRO OLIVEIRA|01310-100|SAO PAULO|SP|1459|396.31
AA100000048BR|RDE|OBJETO RETORNOU AO REMETENTE|18/10/2024|15:28|174.648.877-19|MARIA SOUZA|57020-480|MACEIO|AL|3639|367.27
AA100000049BR|RDE|OBJETO RETORNOU AO REMETENTE|08/05/2024|06:05|399.049.027-87|RAFAEL RODRIGUES|30130-110|BELO HORIZONTE|MG|4895|217.94
AA100000050BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|16/02/2024|21:22|655.125.674-68|MARIA SOUZA|50010-000|RECIFE|PE|821|157.26
AA100000051BR|OEC|OBJETO EM ROTA DE ENTREGA|29/02/2024|18:55|808.760.385-97|THIAGO ARAUJO|29010-330|VITORIA|ES|522|101.78
AA100000052BR|RDE|OBJETO RETORNOU AO REMETENTE|08/03/2024|15:28|710.932.480-86|PEDRO OLIVEIRA|40020-010|SALVADOR|BA|1029|230.72
AA100000053BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|27/11/2024|10:31|484.677.378-26|LUCAS PEREIRA|57020-480|MACEIO|AL|4263|373.15
AA100000054BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|05/02/2024|14:49|658.404.499-72|THIAGO ARAUJO|90010-160|PORTO ALEGRE|RS|4067|172.56
AA100000055BR|RDE|OBJETO RETORNOU AO REMETENTE|05/10/2024|18:29|533.963.605-76|DIEGO NASCIMENTO|66015-110|BELEM|PA|1346|247.66
AA100000056BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|05/03/2024|22:37|517.187.026-21|AMANDA RIBEIRO|29010-330|VITORIA|ES|2271|169.28
AA100000057BR|EXT|OBJETO EXTRAVIADO|22/07/2024|08:54|586.578.091-34|JULIANA ALVES|88010-400|FLORIANOPOLIS|SC|840|216.99
AA100000058BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|20/11/2024|09:28|240.050.455-62|JULIANA ALVES|90010-160|PORTO ALEGRE|RS|3475|282.96
AA100000059BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|28/03/2024|11:05|969.379.237-47|RAFAEL RODRIGUES|66015-110|BELEM|PA|176|449.45
AA100000060BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|27/05/2024|11:04|759.464.743-67|ANA COSTA|40020-010|SALVADOR|BA|3224|285.96
AA100000061BR|RDE|OBJETO RETORNOU AO REMETENTE|31/05/2024|15:01|640.909.743-95|JULIANA ALVES|66015-110|BELEM|PA|1657|310.45
AA100000062BR|EXT|OBJETO EXTRAVIADO|03/12/2024|10:40|104.709.521-45|LARISSA CARVALHO|30130-110|BELO HORIZONTE|MG|1744|66.08
AA100000063BR|RDE|OBJETO RETORNOU AO REMETENTE|06/07/2024|22:32|424.745.171-23|DIEGO NASCIMENTO|59010-000|NATAL|RN|4665|182.89
AA100000064BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|08/01/2024|14:34|175.496.513-70|NATALIA ROCHA|57020-480|MACEIO|AL|4699|164.00
AA100000065BR|RDE|OBJETO RETORNOU AO REMETENTE|23/04/2024|08:40|746.120.047-11|JULIANA ALVES|57020-480|MACEIO|AL|4503|67.83
AA100000066BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|08/07/2024|19:37|261.796.405-37|THIAGO ARAUJO|40020-010|SALVADOR|BA|3071|49.68
AA100000067BR|EXT|OBJETO EXTRAVIADO|07/07/2024|17:03|643.171.390-05|JULIANA ALVES|30130-110|BELO HORIZONTE|MG|4725|102.60
AA100000068BR|RDE|OBJETO RETORNOU AO REMETENTE|16/04/2024|12:52|352.904.228-42|ANA COSTA|66015-110|BELEM|PA|311|65.90
AA100000069BR|OEC|OBJETO EM ROTA DE ENTREGA|01/05/2024|16:01|240.268.117-75|GABRIEL MENDES|74110-010|GOIANIA|GO|993|226.00
AA100000070BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|10/11/2024|07:46|847.007.661-77|PEDRO OLIVEIRA|57020-480|MACEIO|AL|761|161.06
AA100000071BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|03/02/2024|10:17|998.569.847-89|LARISSA CARVALHO|20040-020|RIO DE JANEIRO|RJ|1037|426.40
AA100000072BR|EXT|OBJETO EXTRAVIADO|09/10/2024|12:27|736.576.615-65|RAFAEL RODRIGUES|80010-010|CURITIBA|PR|1350|343.41
AA100000073BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|04/02/2024|08:53|116.152.809-88|BRUNO FERREIRA|66015-110|BELEM|PA|1101|205.40
AA100000074BR|EXT|OBJETO EXTRAVIADO|04/08/2024|07:18|945.198.327-31|CAMILA MARTINS|59010-000|NATAL|RN|4656|183.78
AA100000075BR|OEC|OBJETO EM ROTA DE ENTREGA|20/10/2024|13:51|689.980.940-24|PATRICIA LIMA|57020-480|MACEIO|AL|2883|175.51
AA100000076BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|14/03/2024|18:04|201.836.675-25|PATRICIA LIMA|88010-400|FLORIANOPOLIS|SC|2757|388.42
AA100000077BR|RDE|OBJETO RETORNOU AO REMETENTE|01/11/2024|08:56|022.901.476-79|THIAGO ARAUJO|69005-010|MANAUS|AM|2337|107.78
AA100000078BR|RDE|OBJETO RETORNOU AO REMETENTE|28/02/2024|17:27|149.784.036-90|JOAO DA SILVA|40020-010|SALVADOR|BA|2569|472.66
AA100000079BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|10/05/2024|15:20|107.622.683-88|CAMILA MARTINS|20040-020|RIO DE JANEIRO|RJ|3352|430.88
AA100000080BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|11/08/2024|06:29|159.696.641-60|BRUNO FERREIRA|30130-110|BELO HORIZONTE|MG|3869|416.01
AA100000081BR|OEC|OBJETO EM ROTA DE ENTREGA|15/02/2024|19:54|136.968.164-53|BRUNO FERREIRA|29010-330|VITORIA|ES|1477|38.19
AA100000082BR|EXT|OBJETO EXTRAVIADO|28/02/2024|22:32|355.231.243-29|CARLOS LIMA|29010-330|VITORIA|ES|717|88.57
AA100000083BR|EXT|OBJETO EXTRAVIADO|09/09/2024|20:48|997.995.527-17|THIAGO ARAUJO|66015-110|BELEM|PA|2580|398.16
AA100000084BR|RDE|OBJETO RETORNOU AO REMETENTE|29/01/2024|17:32|147.700.541-19|NATALIA ROCHA|90010-160|PORTO ALEGRE|RS|3249|231.36
AA100000085BR|RDE|OBJETO RETORNOU AO REMETENTE|22/01/2024|20:58|935.978.207-15|PEDRO OLIVEIRA|90010-160|PORTO ALEGRE|RS|1513|19.57
AA100000086BR|EXT|OBJETO EXTRAVIADO|12/08/2024|20:33|892.554.665-90|BRUNO FERREIRA|20040-020|RIO DE JANEIRO|RJ|2800|47.25
AA100000087BR|EXT|OBJETO EXTRAVIADO|16/07/2024|15:16|925.192.546-29|PEDRO OLIVEIRA|60150-160|FORTALEZA|CE|4678|188.34
AA100000088BR|OEC|OBJETO EM ROTA DE ENTREGA|06/03/2024|22:05|685.054.235-73|JULIANA ALVES|30130-110|BELO HORIZONTE|MG|1369|38.58
AA100000089BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|16/09/2024|22:02|592.962.229-27|MARIA SOUZA|69005-010|MANAUS|AM|3084|338.18
AA100000090BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|15/08/2024|15:48|738.347.359-77|PATRICIA LIMA|29010-330|VITORIA|ES|3228|251.45
AA100000091BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|23/03/2024|12:51|924.075.818-14|PEDRO OLIVEIRA|29010-330|VITORIA|ES|1413|136.40
AA100000092BR|RDE|OBJETO RETORNOU AO REMETENTE|16/03/2024|19:05|375.060.685-36|PEDRO OLIVEIRA|80010-010|CURITIBA|PR|1939|14.09
AA100000093BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|28/11/2024|16:50|220.472.779-01|JOAO DA SILVA|60150-160|FORTALEZA|CE|1866|417.48
AA100000094BR|RDE|OBJETO RETORNOU AO REMETENTE|07/11/2024|22:27|143.410.369-71|ANA COSTA|59010-000|NATAL|RN|4194|298.37
AA100000095BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|19/11/2024|22:36|324.609.539-62|PEDRO OLIVEIRA|90010-160|PORTO ALEGRE|RS|3054|33.84
AA100000096BR|RDE|OBJETO RETORNOU AO REMETENTE|05/10/2024|22:50|880.670.654-05|PEDRO OLIVEIRA|80010-010|CURITIBA|PR|2075|366.47
AA100000097BR|EXT|OBJETO EXTRAVIADO|23/02/2024|16:08|058.527.722-17|MARIA SOUZA|60150-160|FORTALEZA|CE|1751|21.90
AA100000098BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|22/01/2024|16:59|486.874.034-50|BRUNO FERREIRA|60150-160|FORTALEZA|CE|1119|399.67
AA100000099BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|23/07/2024|20:57|652.775.841-61|LARISSA CARVALHO|74110-010|GOIANIA|GO|1578|272.74
AA100000100BR|OEC|OBJETO EM ROTA DE ENTREGA|22/02/2024|08:20|447.962.757-05|NATALIA ROCHA|69005-010|MANAUS|AM|2349|319.73
AA100000101BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|08/02/2024|18:23|820.297.021-35|CAMILA MARTINS|69005-010|MANAUS|AM|4746|16.19
AA100000102BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|13/12/2024|20:23|571.928.565-43|ANA COSTA|01310-100|SAO PAULO|SP|1624|249.52
AA100000103BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|14/10/2024|09:16|473.947.312-17|FERNANDA SANTOS|57020-480|MACEIO|AL|3746|498.63
AA100000104BR|EXT|OBJETO EXTRAVIADO|12/06/2024|17:45|188.442.258-31|LUCAS PEREIRA|29010-330|VITORIA|ES|1237|118.37
AA100000105BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|14/01/2024|17:35|957.829.114-67|GABRIEL MENDES|69005-010|MANAUS|AM|3454|411.67
AA100000106BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|05/03/2024|16:41|177.852.892-26|GABRIEL MENDES|57020-480|MACEIO|AL|553|415.70
AA100000107BR|RDE|OBJETO RETORNOU AO REMETENTE|19/03/2024|15:10|253.584.143-84|CARLOS LIMA|66015-110|BELEM|PA|2580|307.21
AA100000108BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|14/09/2024|11:37|922.995.900-10|LEONARDO BARBOSA|60150-160|FORTALEZA|CE|1826|383.48
AA100000109BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|12/11/2024|06:31|844.736.471-02|THIAGO ARAUJO|69005-010|MANAUS|AM|4066|232.22
AA100000110BR|OEC|OBJETO EM ROTA DE ENTREGA|06/11/2024|10:20|556.258.815-37|ANA COSTA|60150-160|FORTALEZA|CE|3783|123.96
AA100000111BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|26/01/2024|15:24|963.259.532-78|THIAGO ARAUJO|50010-000|RECIFE|PE|2627|248.69
AA100000112BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|20/07/2024|22:29|339.500.479-74|ISABELA FREITAS|01310-100|SAO PAULO|SP|980|215.46
AA100000113BR|OEC|OBJETO EM ROTA DE ENTREGA|06/07/2024|18:23|060.983.584-16|GABRIEL MENDES|50010-000|RECIFE|PE|4604|139.86
AA100000114BR|RDE|OBJETO RETORNOU AO REMETENTE|14/12/2024|09:08|165.585.239-86|GABRIEL MENDES|01310-100|SAO PAULO|SP|471|19.46
AA100000115BR|EXT|OBJETO EXTRAVIADO|19/06/2024|21:33|729.825.952-69|PATRICIA LIMA|74110-010|GOIANIA|GO|2855|253.66
AA100000116BR|RDE|OBJETO RETORNOU AO REMETENTE|29/09/2024|21:45|947.055.169-40|NATALIA ROCHA|50010-000|RECIFE|PE|2275|483.54
AA100000117BR|RDE|OBJETO RETORNOU AO REMETENTE|22/10/2024|13:46|097.289.623-09|ANA COSTA|40020-010|SALVADOR|BA|255|220.52
AA100000118BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|18/03/2024|19:44|368.970.283-85|AMANDA RIBEIRO|90010-160|PORTO ALEGRE|RS|3186|156.88
AA100000119BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|23/08/2024|16:34|549.733.484-34|PATRICIA LIMA|88010-400|FLORIANOPOLIS|SC|1798|345.12
AA100000120BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|11/06/2024|21:22|844.198.665-24|MARIA SOUZA|60150-160|FORTALEZA|CE|747|173.18
AA100000121BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|01/12/2024|14:47|733.848.421-99|JULIANA ALVES|40020-010|SALVADOR|BA|515|334.92
AA100000122BR|RDE|OBJETO RETORNOU AO REMETENTE|25/04/2024|13:03|165.712.082-67|AMANDA RIBEIRO|66015-110|BELEM|PA|1733|377.96
AA100000123BR|OEC|OBJETO EM ROTA DE ENTREGA|13/06/2024|15:41|019.380.262-06|AMANDA RIBEIRO|30130-110|BELO HORIZONTE|MG|2471|438.37
AA100000124BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|01/06/2024|09:59|547.887.287-43|ANA COSTA|80010-010|CURITIBA|PR|1431|365.56
AA100000125BR|EXT|OBJETO EXTRAVIADO|11/05/2024|11:00|549.329.668-51|DIEGO NASCIMENTO|66015-110|BELEM|PA|881|92.39
AA100000126BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|01/09/2024|16:59|304.637.454-99|JOAO DA SILVA|60150-160|FORTALEZA|CE|3045|346.38
AA100000127BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|07/12/2024|09:29|426.841.459-33|CARLOS LIMA|50010-000|RECIFE|PE|1354|227.49
AA100000128BR|RDE|OBJETO RETORNOU AO REMETENTE|10/07/2024|19:44|878.339.187-85|PEDRO OLIVEIRA|57020-480|MACEIO|AL|4721|56.10
AA100000129BR|RDE|OBJETO RETORNOU AO REMETENTE|15/09/2024|12:36|822.587.139-71|GABRIEL MENDES|50010-000|RECIFE|PE|555|226.72
AA100000130BR|RDE|OBJETO RETORNOU AO REMETENTE|31/07/2024|20:36|087.406.403-91|MARIA SOUZA|69005-010|MANAUS|AM|2922|350.19
AA100000131BR|RDE|OBJETO RETORNOU AO REMETENTE|31/01/2024|08:59|704.622.656-76|DIEGO NASCIMENTO|20040-020|RIO DE JANEIRO|RJ|4517|66.49
AA100000132BR|OEC|OBJETO EM ROTA DE ENTREGA|01/03/2024|11:34|682.300.478-68|DIEGO NASCIMENTO|59010-000|NATAL|RN|1981|123.76
AA100000133BR|OEC|OBJETO EM ROTA DE ENTREGA|20/03/2024|14:12|106.903.311-90|THIAGO ARAUJO|74110-010|GOIANIA|GO|498|122.37
AA100000134BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|24/07/2024|20:14|830.284.395-99|BRUNO FERREIRA|40020-010|SALVADOR|BA|2572|438.13
AA100000135BR|EXT|OBJETO EXTRAVIADO|23/09/2024|13:26|440.892.687-05|DIEGO NASCIMENTO|29010-330|VITORIA|ES|4396|159.37
AA100000136BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|28/07/2024|10:19|628.733.427-08|LARISSA CARVALHO|69005-010|MANAUS|AM|4665|265.00
AA100000137BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|04/05/2024|14:13|517.518.304-69|NATALIA ROCHA|01310-100|SAO PAULO|SP|696|94.08
AA100000138BR|RDE|OBJETO RETORNOU AO REMETENTE|09/12/2024|12:30|354.033.173-93|DIEGO NASCIMENTO|57020-480|MACEIO|AL|2060|276.04
AA100000139BR|OEC|OBJETO EM ROTA DE ENTREGA|13/07/2024|20:34|544.587.717-53|CAMILA MARTINS|80010-010|CURITIBA|PR|3490|22.86
AA100000140BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|15/03/2024|06:16|899.642.353-69|JULIANA ALVES|50010-000|RECIFE|PE|4610|327.30
AA100000141BR|EXT|OBJETO EXTRAVIADO|21/06/2024|14:48|777.252.287-28|MARIA SOUZA|90010-160|PORTO ALEGRE|RS|377|419.53
AA100000142BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|08/12/2024|07:48|062.312.038-75|MARIA SOUZA|74110-010|GOIANIA|GO|4058|329.64
AA100000143BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|04/01/2024|19:00|084.840.862-11|GABRIEL MENDES|30130-110|BELO HORIZONTE|MG|2074|95.97
AA100000144BR|RDE|OBJETO RETORNOU AO REMETENTE|09/05/2024|17:17|615.679.334-10|PEDRO OLIVEIRA|69005-010|MANAUS|AM|3206|188.58
AA100000145BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|29/01/2024|06:44|217.659.180-33|LEONARDO BARBOSA|50010-000|RECIFE|PE|2320|23.28
AA100000146BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|16/12/2024|14:57|890.250.392-61|PATRICIA LIMA|30130-110|BELO HORIZONTE|MG|4719|120.24
AA100000147BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|12/12/2024|16:24|218.501.631-59|NATALIA ROCHA|74110-010|GOIANIA|GO|3349|484.46
AA100000148BR|OEC|OBJETO EM ROTA DE ENTREGA|16/01/2024|14:50|773.586.629-61|NATALIA ROCHA|60150-160|FORTALEZA|CE|2118|356.55
AA100000149BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|17/05/2024|10:24|265.511.047-54|ANA COSTA|30130-110|BELO HORIZONTE|MG|815|93.70
AA100000150BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|12/10/2024|22:26|101.581.995-60|PATRICIA LIMA|69005-010|MANAUS|AM|3276|389.58
AA100000151BR|EXT|OBJETO EXTRAVIADO|13/10/2024|13:36|826.224.447-21|FERNANDA SANTOS|69005-010|MANAUS|AM|2360|210.55
AA100000152BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|09/02/2024|17:16|379.937.124-06|BRUNO FERREIRA|59010-000|NATAL|RN|3212|402.04
AA100000153BR|OEC|OBJETO EM ROTA DE ENTREGA|13/08/2024|16:27|924.593.752-65|PATRICIA LIMA|88010-400|FLORIANOPOLIS|SC|4122|483.88
AA100000154BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|15/06/2024|18:17|651.939.828-07|LUCAS PEREIRA|50010-000|RECIFE|PE|2486|415.64
AA100000155BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|28/07/2024|21:08|434.266.179-79|DIEGO NASCIMENTO|90010-160|PORTO ALEGRE|RS|4250|461.75
AA100000156BR|EXT|OBJETO EXTRAVIADO|02/08/2024|07:50|589.113.529-09|DIEGO NASCIMENTO|29010-330|VITORIA|ES|2816|482.86
AA100000157BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|24/02/2024|06:06|438.889.937-56|THIAGO ARAUJO|29010-330|VITORIA|ES|4921|345.22
AA100000158BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|25/06/2024|06:30|146.112.545-73|GABRIEL MENDES|50010-000|RECIFE|PE|2953|238.08
