NR_CONHECIMENTO,DT_OCORRENCIA,HR_OCORRENCIA,CD_OCORRENCIA,DS_OCORRENCIA,NR_CPF_CNPJ,NM_DESTINATARIO,NR_CEP,NM_CIDADE,SG_UF,VL_FRETE,VL_MERCADORIA,NR_TENTATIVA
JL9000000020,2024-12-07,15:19:00,V,TENTATIVA SEM SUCESSO - AUSENTE,29502648016,RAFAEL RODRIGUES,60150160,FORTALEZA,CE,79.63,118.25,2
JL9000000021,2024-04-14,14:53:00,D,ENTREGUE,81277822102,PEDRO OLIVEIRA,57020480,MACEIO,AL,43.39,410.32,1
JL9000000022,2024-10-01,11:06:00,R,DEVOLVIDO AO REMETENTE,86298579736383,ANA COSTA,59010000,NATAL,RN,45.10,271.76,1
JL9000000023,2024-06-12,19:01:00,V,TENTATIVA SEM SUCESSO - AUSENTE,70798661770,DIEGO NASCIMENTO,59010000,NATAL,RN,75.55,117.97,2
JL9000000024,2024-07-26,22:49:00,S,SAIU PARA ENTREGA,05068212235,BRUNO FERREIRA,66015110,BELEM,PA,19.46,496.08,1
JL9000000025,2024-12-13,17:00:00,V,TENTATIVA SEM SUCESSO - AUSENTE,71469218219,CARLOS LIMA,80010010,CURITIBA,PR,48.89,484.46,2
JL9000000026,2024-10-31,07:35:00,E,EXTRAVIO,43699848022,MARIA SOUZA,59010000,NATAL,RN,31.82,16.96,1
JL9000000027,2024-11-05,13:42:00,E,EXTRAVIO,94842495988,PEDRO OLIVEIRA,66015110,BELEM,PA,14.05,173.39,1
JL9000000028,2024-11-16,22:29:00,D,ENTREGUE,71523867673,ISABELA FREITAS,29010330,VITORIA,ES,77.99,93.38,1
JL9000000029,2024-11-11,20:17:00,T,EM TRANSFERENCIA,91779876829,LEONARDO BARBOSA,57020480,MACEIO,AL,39.43,248.61,1
JL9000000030,2024-03-19,10:20:00,E,EXTRAVIO,70858062350,RAFAEL RODRIGUES,57020480,MACEIO,AL,10.15,447.36,1
JL9000000031,2024-07-03,18:24:00,R,DEVOLVIDO AO REMETENTE,79001248255,RAFAEL RODRIGUES,60150160,FORTALEZA,CE,21.14,261.79,1
JL9000000032,2024-08-23,18:12:00,S,SAIU PARA ENTREGA,94232894633,ISABELA FREITAS,57020480,MACEIO,AL,74.51,467.27,1
JL9000000033,2024-06-23,18:10:00,V,TENTATIVA SEM SUCESSO - AUSENTE,52857256292693,JULIANA ALVES,80010010,CURITIBA,PR,46.14,390.84,2
JL9000000034,2024-07-08,09:14:00,E,EXTRAVIO,65507846850957,PATRICIA LIMA,59010000,NATAL,RN,26.84,3.80,1
JL9000000035,2024-06-05,09:56:00,R,DEVOLVIDO AO REMETENTE,91179720385,LEONARDO BARBOSA,40020010,SALVADOR,BA,27.38,18.85,1
JL9000000036,2024-07-05,12:25:00,V,TENTATIVA SEM SUCESSO - AUSENTE,47155313259367,GABRIEL MENDES,20040020,RIO DE JANEIRO,RJ,25.15,213.13,2
JL9000000037,2024-06-11,07:01:00,E,EXTRAVIO,21410527698,ANA COSTA,88010400,FLORIANOPOLIS,SC,50.60,236.44,1
JL9000000038,2024-01-31,10:48:00,T,EM TRANSFERENCIA,52388856225866,MARIA SOUZA,80010010,CURITIBA,PR,70.21,291.78,1
JL9000000039,2024-07-31,20:34:00,T,EM TRANSFERENCIA,22758548596,CAMILA MARTINS,29010330,VITORIA,ES,70.41,393.80,1
JL9000000040,2024-11-10,15:11:00,E,EXTRAVIO,91165020002453,LEONARDO BARBOSA,66015110,BELEM,PA,71.25,36.37,1
JL9000000041,2024-05-01,10:41:00,D,ENTREGUE,51305570836,ISABELA FREITAS,88010400,FLORIANOPOLIS,SC,21.11,50.18,1
JL9000000042,2024-06-04,15:54:00,E,EXTRAVIO,66997273677,PATRICIA LIMA,66015110,BELEM,PA,37.76,373.45,1
JL9000000043,2024-03-07,17:54:00,E,EXTRAVIO,25431832812,LUCAS PEREIRA,59010000,NATAL,RN,12.53,100.09,1
JL9000000044,2024-03-14,06:40:00,V,TENTATIVA SEM SUCESSO - AUSENTE,06018364723,ISABELA FREITAS,50010000,RECIFE,PE,32.84,266.26,2
JL9000000045,2024-08-29,18:33:00,R,DEVOLVIDO AO REMETENTE,72257754584726,CARLOS LIMA,59010000,NATAL,RN,49.13,16.35,1
JL9000000046,2024-03-13,08:32:00,R,DEVOLVIDO AO REMETENTE,68316082717,FERNANDA SANTOS,20040020,RIO DE JANEIRO,RJ,40.92,107.53,1
JL9000000047,2024-08-14,12:59:00,E,EXTRAVIO,20522299936,FERNANDA SANTOS,20040020,RIO DE JANEIRO,RJ,60.76,399.70,1
JL9000000048,2024-12-02,08:40:00,V,TENTATIVA SEM SUCESSO - AUSENTE,82325539835,ISABELA FREITAS,60150160,FORTALEZA,CE,27.21,61.08,2
JL9000000049,2024-11-26,20:47:00,R,DEVOLVIDO AO REMETENTE,32643095449,AMANDA RIBEIRO,74110010,GOIANIA,GO,59.52,58.24,1
JL9000000050,2024-08-16,20:00:00,S,SAIU PARA ENTREGA,71205397871,LUCAS PEREIRA,50010000,RECIFE,PE,58.97,408.75,1
JL9000000051,2024-03-11,22:15:00,S,SAIU PARA ENTREGA,12560832004879,THIAGO ARAUJO,90010160,PORTO ALEGRE,RS,44.25,431.81,1
JL9000000052,2024-08-12,17:43:00,S,SAIU PARA ENTREGA,58523860030,RAFAEL RODRIGUES,60150160,FORTALEZA,CE,25.01,193.93,1
JL9000000053,2024-02-11,16:07:00,T,EM TRANSFERENCIA,23910292950143,AMANDA RIBEIRO,60150160,FORTALEZA,CE,55.07,367.46,1
JL9000000054,2024-04-08,07:39:00,S,SAIU PARA ENTREGA,96713971912,DIEGO NASCIMENTO,01310100,SAO PAULO,SP,53.60,365.88,1
JL9000000055,2024-02-29,12:10:00,D,ENTREGUE,76720191116,DIEGO NASCIMENTO,20040020,RIO DE JANEIRO,RJ,17.32,90.35,1
JL9000000056,2024-03-02,07:28:00,S,SAIU PARA ENTREGA,87339304936,DIEGO NASCIMENTO,80010010,CURITIBA,PR,23.00,6.70,1
JL9000000057,2024-04-01,20:41:00,R,DEVOLVIDO AO REMETENTE,81242114086,GABRIEL MENDES,30130110,BELO HORIZONTE,MG,74.38,429.92,1
JL9000000058,2024-10-22,16:08:00,S,SAIU PARA ENTREGA,62093556103,LEONARDO BARBOSA,74110010,GOIANIA,GO,32.86,389.61,1
JL9000000059,2024-10-25,21:52:00,D,ENTREGUE,37124365858,CAMILA MARTINS,69005010,MANAUS,AM,30.10,462.01,1
JL9000000060,2024-04-18,06:16:00,D,ENTREGUE,20270615927,JULIANA ALVES,90010160,PORTO ALEGRE,RS,43.63,30.15,1
JL9000000061,2024-11-02,07:28:00,R,DEVOLVIDO AO REMETENTE,16690632248,ANA COSTA,80010010,CURITIBA,PR,31.00,476.46,1
JL9000000062,2024-03-22,06:14:00,R,DEVOLVIDO AO REMETENTE,40301095679,THIAGO ARAUJO,80010010,CURITIBA,PR,38.47,393.42,1
JL9000000063,2024-11-14,08:23:00,T,EM TRANSFERENCIA,55462347124,THIAGO ARAUJO,69005010,MANAUS,AM,8.20,22.06,1
JL9000000064,2024-01-31,09:51:00,E,EXTRAVIO,30683176417268,MARIA SOUZA,90010160,PORTO ALEGRE,RS,8.95,48.71,1
JL9000000065,2024-12-09,17:28:00,D,ENTREGUE,01507138067130,THIAGO ARAUJO,88010400,FLORIANOPOLIS,SC,24.50,39.85,1
JL9000000066,2024-01-25,15:23:00,E,EXTRAVIO,74362130096,FERNANDA SANTOS,80010010,CURITIBA,PR,46.28,264.06,1
JL9000000067,2024-06-30,20:27:00,R,DEVOLVIDO AO REMETENTE,47031805339,DIEGO NASCIMENTO,30130110,BELO HORIZONTE,MG,67.23,459.73,1
JL9000000068,2024-08-13,14:53:00,T,EM TRANSFERENCIA,62159183270,MARIA SOUZA,01310100,SAO PAULO,SP,78.55,201.49,1
JL9000000069,2024-08-05,09:19:00,V,TENTATIVA SEM SUCESSO - AUSENTE,01107977140,JOAO DA SILVA,88010400,FLORIANOPOLIS,SC,55.17,292.78,2
JL9000000070,2024-10-05,08:52:00,R,DEVOLVIDO AO REMETENTE,49053152049,NATALIA ROCHA,90010160,PORTO ALEGRE,RS,10.73,294.82,1
JL9000000071,2024-11-27,21:59:00,T,EM TRANSFERENCIA,87313797166,NATALIA ROCHA,90010160,PORTO ALEGRE,RS,61.99,51.03,1
JL9000000072,2024-07-14,09:09:00,S,SAIU PARA ENTREGA,07794332562,LUCAS PEREIRA,88010400,FLORIANOPOLIS,SC,57.60,257.69,1
JL9000000073,2024-10-29,15:37:00,E,EXTRAVIO,97014262037,MARIA SOUZA,90010160,PORTO ALEGRE,RS,41.17,452.04,1
JL9000000074,2024-03-28,09:05:00,T,EM TRANSFERENCIA,20418135998989,THIAGO ARAUJO,57020480,MACEIO,AL,18.56,55.98,1
JL9000000075,2024-08-15,06:46:00,E,EXTRAVIO,94801864482,FERNANDA SANTOS,29010330,VITORIA,ES,16.66,473.40,1
JL9000000076,2024-07-01,22:32:00,R,DEVOLVIDO AO REMETENTE,97857082004,ISABELA FREITAS,01310100,SAO PAULO,SP,38.15,160.10,1
JL9000000077,2024-12-07,08:53:00,S,SAIU PARA ENTREGA,69149611287,LEONARDO BARBOSA,60150160,FORTALEZA,CE,64.99,299.95,1
JL9000000078,2024-08-04,22:09:00,T,EM TRANSFERENCIA,69704095314,PEDRO OLIVEIRA,29010330,VITORIA,ES,49.83,56.25,1
JL9000000079,2024-08-06,07:31:00,E,EXTRAVIO,27488356517,LEONARDO BARBOSA,29010330,VITORIA,ES,69.85,329.32,1
JL9000000080,2024-11-24,18:11:00,V,TENTATIVA SEM SUCESSO - AUSENTE,96496683496,JOAO DA SILVA,60150160,FORTALEZA,CE,40.62,156.20,2
JL9000000081,2024-02-03,20:00:00,S,SAIU PARA ENTREGA,16225936488,CARLOS LIMA,01310100,SAO PAULO,SP,44.18,286.94,1
JL9000000082,2024-04-23,14:34:00,T,EM TRANSFERENCIA,83906246728,THIAGO ARAUJO,74110010,GOIANIA,GO,49.45,212.46,1
JL9000000083,2024-11-15,08:05:00,V,TENTATIVA SEM SUCESSO - AUSENTE,19359236133760,BRUNO FERREIRA,30130110,BELO HORIZONTE,MG,78.63,21.90,2
JL9000000084,2024-05-10,16:35:00,E,EXTRAVIO,50254472419165,MARIA SOUZA,59010000,NATAL,RN,21.91,144.58,1
JL9000000085,2024-01-15,19:25:00,D,ENTREGUE,71824989808,ISABELA FREITAS,57020480,MACEIO,AL,60.52,433.15,1
JL9000000086,2024-08-24,10:06:00,V,TENTATIVA SEM SUCESSO - AUSENTE,46813592664869,ISABELA FREITAS,74110010,GOIANIA,GO,65.94,124.49,2
JL9000000087,2024-10-24,18:44:00,E,EXTRAVIO,48694155945,MARIA SOUZA,20040020,RIO DE JANEIRO,RJ,16.94,67.38,1
JL9000000088,2024-11-02,11:03:00,R,DEVOLVIDO AO REMETENTE,53605117160,JULIANA ALVES,59010000,NATAL,RN,50.91,376.35,1
JL9000000089,2024-10-11,18:13:00,T,EM TRANSFERENCIA,62189455906,AMANDA RIBEIRO,01310100,SAO PAULO,SP,11.54,297.06,1
JL9000000090,2024-11-29,15:51:00,S,SAIU PARA ENTREGA,94204664896,LARISSA CARVALHO,50010000,RECIFE,PE,37.55,163.44,1
JL9000000091,2024-08-11,14:10:00,D,ENTREGUE,45657758097,PATRICIA LIMA,29010330,VITORIA,ES,30.96,110.37,1
JL9000000092,2024-09-16,06:27:00,S,SAIU PARA ENTREGA,54662265401,DIEGO NASCIMENTO,66015110,BELEM,PA,32.05,304.12,1
JL9000000093,2024-04-27,07:00:00,R,DEVOLVIDO AO REMETENTE,62212242767,AMANDA RIBEIRO,60150160,FORTALEZA,CE,36.89,381.90,1
JL9000000094,2024-11-09,08:24:00,D,ENTREGUE,24115848860080,ANA COSTA,50010000,RECIFE,PE,50.39,490.99,1
JL9000000095,2024-09-03,21:35:00,S,SAIU PARA ENTREGA,12995704726426,PEDRO OLIVEIRA,30130110,BELO HORIZONTE,MG,60.59,459.76,1
JL9000000096,2024-01-28,12:33:00,V,TENTATIVA SEM SUCESSO - AUSENTE,75365968078,CAMILA MARTINS,59010000,NATAL,RN,53.76,184.25,2
JL9000000097,2024-05-15,22:11:00,V,TENTATIVA SEM SUCESSO - AUSENTE,83854540064454,THIAGO ARAUJO,80010010,CURITIBA,PR,61.26,434.94,2
JL9000000098,2024-02-09,09:08:00,S,SAIU PARA ENTREGA,74897917763342,AMANDA RIBEIRO,30130110,BELO HORIZONTE,MG,10.21,433.80,1
JL9000000099,2024-10-11,18:43:00,S,SAIU PARA ENTREGA,75080196304,BRUNO FERREIRA,88010400,FLORIANOPOLIS,SC,53.74,16.60,1
JL9000000100,2024-11-07,13:20:00,R,DEVOLVIDO AO REMETENTE,24935340018,PEDRO OLIVEIRA,88010400,FLORIANOPOLIS,SC,70.83,220.27,1
JL9000000101,2024-09-15,15:32:00,D,ENTREGUE,52444544608,LUCAS PEREIRA,59010000,NATAL,RN,46.53,180.82,1
JL9000000102,2024-02-03,21:38:00,E,EXTRAVIO,81053912878,GABRIEL MENDES,66015110,BELEM,PA,26.39,269.43,1
JL9000000103,2024-07-16,19:37:00,E,EXTRAVIO,29045792714,THIAGO ARAUJO,66015110,BELEM,PA,17.90,188.42,1
JL9000000104,2024-01-19,08:55:00,R,DEVOLVIDO AO REMETENTE,86424238397,FERNANDA SANTOS,90010160,PORTO ALEGRE,RS,24.95,284.01,1
JL9000000105,2024-02-22,10:07:00,R,DEVOLVIDO AO REMETENTE,70629328809,ISABELA FREITAS,57020480,MACEIO,AL,23.27,72.85,1
JL9000000106,2024-01-23,09:00:00,S,SAIU PARA ENTREGA,00186766100,GABRIEL MENDES,59010000,NATAL,RN,53.46,335.74,1
JL9000000107,2024-10-12,21:45:00,T,EM TRANSFERENCIA,81435614038453,PEDRO OLIVEIRA,74110010,GOIANIA,GO,44.74,23.68,1
JL9000000108,2024-09-04,14:26:00,E,EXTRAVIO,35469510030,THIAGO ARAUJO,59010000,NATAL,RN,62.11,458.00,1
JL9000000109,2024-01-02,17:52:00,V,TENTATIVA SEM SUCESSO - AUSENTE,96715006666,RAFAEL RODRIGUES,20040020,RIO DE JANEIRO,RJ,13.32,452.49,2
JL9000000110,2024-07-20,17:19:00,D,ENTREGUE,34078516994,NATALIA ROCHA,50010000,RECIFE,PE,11.02,307.59,1
JL9000000111,2024-07-07,12:27:00,T,EM TRANSFERENCIA,48268999626,NATALIA ROCHA,50010000,RECIFE,PE,64.51,263.98,1
JL9000000112,2024-10-03,19:35:00,E,EXTRAVIO,91787915059,LARISSA CARVALHO,30130110,BELO HORIZONTE,MG,34.14,421.95,1
JL9000000113,2024-10-18,20:57:00,T,EM TRANSFERENCIA,93201265789826,JOAO DA SILVA,60150160,FORTALEZA,CE,78.40,276.65,1
JL9000000114,2024-01-03,17:59:00,S,SAIU PARA ENTREGA,75585177741,CARLOS LIMA,50010000,RECIFE,PE,29.37,301.06,1
JL9000000115,2024-02-08,09:34:00,R,DEVOLVIDO AO REMETENTE,82419962642,FERNANDA SANTOS,30130110,BELO HORIZONTE,MG,51.43,238.76,1
JL9000000116,2024-09-19,08:28:00,D,ENTREGUE,45421854570,BRUNO FERREIRA,69005010,MANAUS,AM,64.12,63.21,1
JL9000000117,2024-10-22,10:08:00,V,TENTATIVA SEM SUCESSO - AUSENTE,09001635640,THIAGO ARAUJO,30130110,BELO HORIZONTE,MG,23.21,68.01,2
JL9000000118,2024-08-28,11:32:00,S,SAIU PARA ENTREGA,95400178822,RAFAEL RODRIGUES,88010400,FLORIANOPOLIS,SC,40.59,45.04,1
JL9000000119,2024-08-02,08:24:00,E,EXTRAVIO,50710580119,CAMILA MARTINS,01310100,SAO PAULO,SP,51.95,421.92,1
JL9000000120,2024-02-25,08:20:00,S,SAIU PARA ENTREGA,05370923007,PEDRO OLIVEIRA,29010330,VITORIA,ES,38.97,156.96,1
JL9000000121,2024-01-08,06:30:00,V,TENTATIVA SEM SUCESSO - AUSENTE,18948543298,THIAGO ARAUJO,69005010,MANAUS,AM,50.70,286.54,2
JL9000000122,2024-07-30,17:08:00,E,EXTRAVIO,71619827348,PEDRO OLIVEIRA,40020010,SALVADOR,BA,72.92,362.68,1
JL9000000123,2024-02-06,07:16:00,V,TENTATIVA SEM SUCESSO - AUSENTE,58963217435748,JULIANA ALVES,80010010,CURITIBA,PR,70.74,75.69,2
JL9000000124,2024-09-28,07:25:00,V,TENTATIVA SEM SUCESSO - AUSENTE,60673983448,GABRIEL MENDES,40020010,SALVADOR,BA,47.40,483.84,2
JL9000000125,2024-06-11,13:24:00,R,DEVOLVIDO AO REMETENTE,46280550774,MARIA SOUZA,69005010,MANAUS,AM,33.93,309.94,1
JL9000000126,2024-06-29,08:23:00,T,EM TRANSFERENCIA,92090855107409,ANA COSTA,57020480,MACEIO,AL,24.82,475.52,1
JL9000000127,2024-02-21,20:49:00,E,EXTRAVIO,19025476022,JOAO DA SILVA,69005010,MANAUS,AM,59.63,185.47,1
JL9000000128,2024-04-29,16:52:00,V,TENTATIVA SEM SUCESSO - AUSENTE,12012275950,JOAO DA SILVA,30130110,BELO HORIZONTE,MG,69.92,379.77,2
JL9000000129,2024-12-24,07:05:00,V,TENTATIVA SEM SUCESSO - AUSENTE,32594795074071,THIAGO ARAUJO,88010400,FLORIANOPOLIS,SC,21.77,64.57,2
JL9000000130,2024-10-31,07:59:00,V,TENTATIVA SEM SUCESSO - AUSENTE,95031006493,PATRICIA LIMA,29010330,VITORIA,ES,59.94,101.63,2
JL9000000131,2024-10-23,09:00:00,V,TENTATIVA SEM SUCESSO - AUSENTE,03608941184,NATALIA ROCHA,57020480,MACEIO,AL,14.75,110.69,2
JL9000000132,2024-11-30,16:56:00,E,EXTRAVIO,28553595205,DIEGO NASCIMENTO,20040020,RIO DE JANEIRO,RJ,10.39,203.78,1
JL9000000133,2024-09-06,06:41:00,D,ENTREGUE,68018677403,AMANDA RIBEIRO,90010160,PORTO ALEGRE,RS,27.23,340.11,1
JL9000000134,2024-04-21,12:36:00,V,TENTATIVA SEM SUCESSO - AUSENTE,53006776255,JOAO DA SILVA,40020010,SALVADOR,BA,19.57,173.97,2
JL9000000135,2024-01-06,08:31:00,S,SAIU PARA ENTREGA,54262417842,LEONARDO BARBOSA,01310100,SAO PAULO,SP,53.20,330.75,1
JL9000000136,2024-10-20,10:14:00,S,SAIU PARA ENTREGA,11009060530,ISABELA FREITAS,90010160,PORTO ALEGRE,RS,73.77,255.22,1
JL9000000137,2024-05-04,06:09:00,D,ENTREGUE,67329045759887,BRUNO FERREIRA,59010000,NATAL,RN,48.72,93.03,1
JL9000000138,2024-03-28,19:19:00,S,SAIU PARA ENTREGA,33620275582,PEDRO OLIVEIRA,60150160,FORTALEZA,CE,41.26,231.68,1
JL9000000139,2024-01-13,10:00:00,T,EM TRANSFERENCIA,52380236219215,GABRIEL MENDES,29010330,VITORIA,ES,16.96,286.43,1
JL9000000140,2024-09-07,06:43:00,V,TENTATIVA SEM SUCESSO - AUSENTE,61186385588,PEDRO OLIVEIRA,88010400,FLORIANOPOLIS,SC,50.37,156.47,2
JL9000000141,2024-08-25,21:10:00,R,DEVOLVIDO AO REMETENTE,68800537893,PEDRO OLIVEIRA,90010160,PORTO ALEGRE,RS,78.49,304.33,1
JL9000000142,2024-03-20,22:58:00,E,EXTRAVIO,28454018227,FERNANDA SANTOS,01310100,SAO PAULO,SP,11.89,275.60,1
JL9000000143,2024-11-10,15:34:00,S,SAIU PARA ENTREGA,32204144743,CARLOS LIMA,57020480,MACEIO,AL,61.95,262.45,1
JL9000000144,2024-02-26,08:26:00,V,TENTATIVA SEM SUCESSO - AUSENTE,30202030423,CARLOS LIMA,30130110,BELO HORIZONTE,MG,59.62,249.01,2
JL9000000145,2024-03-06,09:15:00,V,TENTATIVA SEM SUCESSO - AUSENTE,02816506463,JOAO DA SILVA,66015110,BELEM,PA,78.87,28.72,2
JL9000000146,2024-10-31,13:59:00,T,EM TRANSFERENCIA,56919832102,NATALIA ROCHA,20040020,RIO DE JANEIRO,RJ,37.93,441.73,1
JL9000000147,2024-12-17,08:30:00,V,TENTATIVA SEM SUCESSO - AUSENTE,90298310438,RAFAEL RODRIGUES,20040020,RIO DE JANEIRO,RJ,52.65,195.94,2
JL9000000148,2024-03-18,08:51:00,S,SAIU PARA ENTREGA,67080568566,THIAGO ARAUJO,29010330,VITORIA,ES,71.14,20.29,1
JL9000000149,2024-04-29,18:59:00,S,SAIU PARA ENTREGA,86550494440766,LUCAS PEREIRA,66015110,BELEM,PA,30.04,385.11,1
JL9000000150,2024-04-25,19:22:00,D,ENTREGUE,96273226261,PEDRO OLIVEIRA,60150160,FORTALEZA,CE,77.74,127.86,1
JL9000000151,2024-07-29,10:58:00,R,DEVOLVIDO AO REMETENTE,85421880879,NATALIA ROCHA,20040020,RIO DE JANEIRO,RJ,61.27,465.15,1
JL9000000152,2024-03-16,13:46:00,V,TENTATIVA SEM SUCESSO - AUSENTE,19964338532,PATRICIA LIMA,50010000,RECIFE,PE,78.14,93.33,2
JL9000000153,2024-07-06,07:23:00,E,EXTRAVIO,34303115876,JOAO DA SILVA,80010010,CURITIBA,PR,78.57,133.54,1
JL9000000154,2024-08-27,18:58:00,R,DEVOLVIDO AO REMETENTE,47576945353,LARISSA CARVALHO,80010010,CURITIBA,PR,48.63,495.56,1
JL9000000155,2024-05-18,18:24:00,R,DEVOLVIDO AO REMETENTE,86163421254,CAMILA MARTINS,01310100,SAO PAULO,SP,46.56,454.13,1
JL9000000156,2024-10-20,16:59:00,E,EXTRAVIO,48152692559,DIEGO NASCIMENTO,69005010,MANAUS,AM,29.75,223.34,1
JL9000000157,2024-02-27,13:00:00,T,EM TRANSFERENCIA,42359142614,MARIA SOUZA,66015110,BELEM,PA,76.66,325.33,1
JL9000000158,2024-10-25,12:15:00,S,SAIU PARA ENTREGA,14543079637,JULIANA ALVES,20040020,RIO DE JANEIRO,RJ,77.20,340.33,1
JL9000000159,2024-01-10,06:34:00,R,DEVOLVIDO AO REMETENTE,17852211587,PEDRO OLIVEIRA,57020480,MACEIO,AL,75.14,140.43,1
JL9000000160,2024-03-21,12:23:00,R,DEVOLVIDO AO REMETENTE,26874470173,FERNANDA SANTOS,59010000,NATAL,RN,54.66,407.93,1
JL9000000161,2024-01-13,22:26:00,V,TENTATIVA SEM SUCESSO - AUSENTE,23777296656,LUCAS PEREIRA,40020010,SALVADOR,BA,41.70,55.74,2
JL9000000162,2024-02-01,07:59:00,R,DEVOLVIDO AO REMETENTE,27810558000,CARLOS LIMA,50010000,RECIFE,PE,69.66,89.09,1
JL9000000163,2024-03-06,08:19:00,S,SAIU PARA ENTREGA,31609439136,GABRIEL MENDES,29010330,VITORIA,ES,53.18,43.42,1
JL9000000164,2024-03-25,07:12:00,D,ENTREGUE,95528620929735,CARLOS LIMA,88010400,FLORIANOPOLIS,SC,34.89,307.69,1
JL9000000165,2024-12-03,12:58:00,S,SAIU PARA ENTREGA,27393899204573,CAMILA MARTINS,40020010,SALVADOR,BA,17.30,211.61,1
JL9000000166,2024-02-14,22:22:00,D,ENTREGUE,10870826971,GABRIEL MENDES,29010330,VITORIA,ES,19.40,426.77,1
JL9000000167,2024-07-14,07:06:00,D,ENTREGUE,26158388217,LARISSA CARVALHO,57020480,MACEIO,AL,58.94,131.07,1
JL9000000168,2024-05-12,18:30:00,S,SAIU PARA ENTREGA,42233222801,NATALIA ROCHA,60150160,FORTALEZA,CE,26.27,76.98,1
JL9000000169,2024-10-13,10:45:00,R,DEVOLVIDO AO REMETENTE,22560629535,MARIA SOUZA,57020480,MACEIO,AL,36.05,416.56,1
JL9000000170,2024-11-21,21:55:00,S,SAIU PARA ENTREGA,18046741307538,PATRICIA LIMA,29010330,VITORIA,ES,16.79,280.84,1
JL9000000171,2024-03-17,06:56:00,R,DEVOLVIDO AO REMETENTE,62608463975615,RAFAEL RODRIGUES,29010330,VITORIA,ES,42.28,180.77,1
JL9000000172,2024-05-08,08:51:00,S,SAIU PARA ENTREGA,15164119556,RAFAEL RODRIGUES,01310100,SAO PAULO,SP,49.01,335.26,1
JL9000000173,2024-10-22,18:37:00,S,SAIU PARA ENTREGA,78752070204,FERNANDA SANTOS,69005010,MANAUS,AM,78.30,333.33,1
